DeltaCoin,RSI,SMA,MACD,DeltaBTC
0,38.92295497035502,29.927444444444436,-0.04941832633884857,-46.75
1,43.395956771808414,29.989666666666658,-0.025182734594523026,17.80000000000291
0,42.87558402125916,30.025888888888883,-0.010581194083119527,-304.26000000000204
1,48.83049847440727,30.05366666666666,0.009635044083555755,-51.80000000000291
1,46.157059376905956,30.066999999999993,0.014934532884169016,53.33999999999651
0,40.82549886008758,30.08666666666666,0.02932137811136215,168.3199999999997
0,45.83573211746736,30.1211111111111,0.061817731428817524,-306.3799999999974
0,57.859102538760844,30.138888888888875,0.08508663720595067,-55.150000000001455
1,62.262029267153785,30.122222222222206,0.08198496222030727,230.65000000000146
1,57.60167046861584,30.08444444444443,0.0676699521517925,-80.29999999999563
1,55.02286917599159,30.059999999999988,0.06266904908758875,98.9800000000032
